Delivery State,Averitt,Dohrn,Estes,FedEx,Saia,XPO,YRC
AL,0.4530846769,,0.550921649,0.5338957744,,,
AR,0.4332173698,,,,,,
AZ,,,0.809190721,,,,
CA,,,0.6558347673,,,,
CO,,,0.6343915467,0.6121930063,,,
CT,,,0.7633960763,0.5606853583,,,
DE,,,,,,,
FL,,,0.7039344612,0.6709633994,0.5505192762,0.804717936,
GA,0.4822837838,,0.515099515,0.5039314108,,,
IA,,0.2708029482,,,,,
ID,,,0.748455873,,,,
IL,,0.2230230267,0.453498426,0.2865657861,0.9586111111,1.8999525,
IN,,0.2364379813,0.2740780142,,,0.5314256198,
KS,0.4250464037,,1.115869565,0.5214106583,,,
KY,0.3327780607,,0.383056256,0.4050411523,,,
LA,0.4997543326,,,0.5059279575,,,
MA,0.8053125,,0.6783536943,0.643743899,,,
MD,0.5244454004,0.5354839875,0.4156026469,0.2327549134,,,
ME,,,,,,,
MI,,,0.349905811,,,,
MN,,0.3821770335,0.3563601997,0.4515804196,,,
MO,,0.2652775763,0.4104152249,,,,
MS,0.3541590214,,,0.4937588243,,,
MT,,,,,,,
NC,0.5089489801,,0.5302429942,0.4910643043,0.483045126,,
ND,,,0.7138235609,0.5114981342,,,
NE,,0.3478787879,,,,,
NH,,,,,,,
NJ,,0.4541544554,0.4633772118,0.3512462398,,,
NM,,,,,,,
NV,,,0.8255284739,0.9970634921,,,
NY,,,0.4650560702,0.5617458038,,,
OH,,,0.3216018324,,,,
OK,0.6389441994,,0.5238970263,0.5272443012,,,
OR,,,0.8506820485,,0.5987822953,,
PA,,0.5495998691,0.4215531142,0.4139158576,,,
RI,,,,,,,
SC,0.5362901566,,0.5299103854,0.4965334931,0.4242532864,0.5311536364,
SD,,,,0.6764861751,,,
TN,0.4258203828,,0.4180080815,0.3963516042,0.4034159774,0.4208501134,
TX,1.442647059,,0.5201723186,0.6198604288,0.4640871582,0.5337542088,
UT,,,0.7109395973,0.7064618402,,,
VA,0.4764430798,0.4603044863,,0.5964738973,,,
VT,,,,,,,
WA,,,0.9843432203,,0.6995138741,,
WI,,0.2375,0.5408454932,,,,
WV,,0.3624807692,0.6480176258,,,,
WY,,,,,,,