CustomerNo,Memo
1105,DO NOT SHIP HOLLAND
1161,DO NOT SHIP FEDEX; NO WED DELV
2323,DO NOT SHIP UPS FRT
2413,DO NOT USE DORHN OR SUTTON
2413,DO NOT USE DORHN OR SUTTON
2413,collect UPS FRT OR FED EX FRT ONLY
3056,Do not ship Standard Forwardin
3463,DO NOT SHIP HOLLAND!
3463,DO NOT SHIP HOLLAND!
3520,DO NOT SHIP FED EX FRT
4120,DO NOT SHIP UPS FREIGHT
4132,NO FED EX FREIGHT
4255,NO UPS FRT
4402,NO UPS FRT
4897,DO NOT USE FED EX FRT
4897,DO NOT USE FED EX FRT
4897,DO NOT USE CUSTOM CO
5805,NO FED EX FRT
5810,USE ESTES OR AVERRIT 
5816,DO NOT SHIP YRC
7145,DO NOT USE UPS FRT
10058,DO NOT SHIP UPS FRT
10150,NO UPS FREIGHT
20156,DO NOT SHIP AVERITT EXPRESS
20156,DO NOT SHIP AVERITT EXPRESS
20156,DO NOT SHIP AVERITT EXPRESS
20180,DO NOT SHIP HOLLAND
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20252,DO NOT SHIP W/ AVERITT
20256,DO NOT SHIP XPO LOGISTICS
2386,DO NOT SHIP XPO LOGISTICS
2410,DO NOT USE CUSTOM CO
2413,DO NOT USE DORHN OR SUTTON
3052,SHIP XPO
4132,DO NOT SHIP FEDEX FREIGHT
4897,DO NOT USE CUSTOM CO
4913,DO NOT USE UPS FREIGHT
9151,DO NOT USE DOHRN 
9471,USE SAIA
9528,USE SAIA
10090,DO NOT USE UPS FREIGHT
20256,DO NOT SHIP XPO LOGISTICS